Awarding Department,Scholarship Intent,Criteria,Major,Class Level,Enrollment Status,Enrollment Requirement,Financial Need as determined by the FAFSA and/or CA Dream App,Citizenship,GPA,Contact Person,Campus Address,Street Address,Phone Number,Email,Web page,Number of Awards,Award,Scopes,Deadline,Supplemental Questions
 Broadcast & Electronic Communication Arts, To support merit and service of a BECA student.,"
1) Should have community involvement.
2) Students will self-describe financial need.
3) Students should be undergraduate majoring in Television/Video production.
4) Must have 3.0 or higher cumulative GPA.", Single:  Broadcast and Electronic Communication Arts in Television/Video production," HS Seniors:  N/A, Undergrad:  Upper Division (Junior, Senior); Grad:  N/A", Continuing, Undergrad:  12 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, BECA Department, MH 339," 1600 Holloway, San Francisco, California 94132", (415) 338-1787, beca@sfsu.edu, http: //beca.sfsu.edu, 2,"$2,000.00",Broadcast and Electronic Communication Arts,04/19/2024,Please upload your SFSU unofficial transcript.
 English," To be used for the benefit of Graduate Students of the English Department at San Francisco State University who are pursuing the study of English Literature, including American Literature.", 3.0 minimum GPA for entering students. 3.5 minimum GPA for current students. Financial need. May be awarded to previous award recipients., Single:  English Literature," Undergrad:  N/A, Grad:  Masters", Any, Undergrad:  N/A; Grad:  6 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.0, English Department, HUM 484," 1600 Holloway Avenue, San Francisco, California 94132", (415) 338-2660, english@sfsu.edu, http: //english.sfsu.edu/, 1,varies,English,11/01/2024,Please upload an SFSU unofficial transcript here.
 Philosophy, To assist students in the Philosophy Department at SFSU to complete their educational endeavors and reach their professional potential.,"
1) Submit a one-page statement of purpose that includes evidence of interest in Philosophy of Religion, Metaphysics, Ethics, Logic, or a combination of these.
2) Evidence of financial need, which may include but is not limited to FAFSA information, as determined by the department scholarship committee.
3) Please indicate a willingness to attend a luncheon with the Zarri family upon award of scholarship.", Single:  Philosophy, Undergrad:  N/A; Grad:  Master, Entering and Continuing, Undergrad:  N/A; Grad:  4 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.0, Jennifer Waller, HUM 389," 1600 Holloway, San Francisco, California 94132", (415) 338-2470, phlsphr@sfsu.edu, https: //philosophy.sfsu.edu/scholarships-philosophy, 1,"$1,000",Philosophy,05/01/2024,Submit a short statement (up to 500 words) describing your financial need and detailing evidence which may include but is not limited to FAFSA information (FAFSA not currently required).
 Ethnic Studies, The Costco Scholarship Fund will provide economically and educationally disadvantaged SF State juniors and seniors an award for educational expenses.,"
1) Student completes 24 units per academic year and maintains satisfactory academic progress with a cumulative gpa of 3.0.
2) Students who meet the AB540 definition are eligible to apply.
3) Must apply for financial aid using the Free Application for Federal Student Aid (FAFSA) or the California Dream Application. Must have financial need as determined by FAFSA or the California Dream Application.", Any," Undergrad:  Upper Division(Junior/Senior), Grad:  N/A", Any, Undergrad:  FULL-TIME; Grad:  N/A, Yes, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, College of Ethnic Studies, EP 121," 1600 Holloway, San Francisco, California 94132", (415) 338-1693, ethnicst@sfsu.edu, https: //ethnicstudies.sfsu.edu/scholarships, varies,Equivalent to tuition,College of Liberal & Creative Arts,09/23/2019,"Personal Statement: Thank you for applying to this scholarship. The questions below will allow the review committee to get a better sense of your goals, achievements and relationship to your community."
 College of Liberal & Creative Arts," To provide funding for graduate students studying German or Italian language or culture as a part of their graduate studies, including seminars, creative works, or thesis projects.","
1) Students must maintain a 3.5 or higher GPA in their post-baccalaureate studies.
2) Enrolled in at least 3 units at the time of application and award. Graduate students in their grace period or ennrolled in LCA-499 at the time of award are also eligible.
3) An applicant may apply more than once, but a single applicant cannot receive the scholarship for more than 4 academic years.
4) The student must be in good standing; that is, not on academic, disciplinary, or administrative probation.", Multiple:  All LCA graduate programs, Undergrad:  N/A; Grad:  Masters, Continuing, Undergrad:  N/A; Grad:  3 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.5, Arsham Pourfallah, MH 404," 1600 Holloway, San Francisco, California 94132", (415) 338-1471, lcastudentservices@sfsu.edu, https: //lca.sfsu.edu/scholarships, Varies,"Number of awards and amounts vary, up to $15,000 total (single award not to exceed $7,000)",Humanities,04/03/2023,Please upload your SFSU unofficial transcript here.
 Creative Writing, To be able to offer a fellowship to an entering MFA students. This fellowship will attract applicants to our program.,"
1) No Application; All applicants to the MFA program.
2) Selection will be based on quality of writing, 2 recommendation letters and undergraduate GPA.", Single:  Creative Writing, Undergrad:  N/A; Grad:  Masters, Entering MFA student, Undergrad:  N/A; Grad:  3 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Creative Writing Department, HUM 573," 1600 Holloway, San Francisco, California 94132", (415) 338-1891, cwriting@sfsu.edu, https: //creativewriting.sfsu.edu/department-resources, varies,varies,College of Science and Engineering,05/31/2023,Please upload a current SFSU unofficial transcript
 Humanities, To recognize academically outstanding graduate students with demonstrated financial need pursuing a degree in the department of Humanities.,"
1) Financial need as described by the student.
2) Must have completed at least 6 units toward the M.A..", Single:  Humanities, Undergrad:  N/A; Grad:  Masters, Continuing, Undergrad:  N/A; Grad:  3 UNITS, Not a requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.0, Humanities Department, HUM 410," 1600 Holloway, San Francisco, California 94132", (415) 338-1830, aspeed@sfsu.edu,http: //lca.sfsu.edu/, 1,"$1,000",Student Affairs and Enrollment Management,10/31/2016,"A short essay of 400-600 words words (must adhere to this limit on the word count) covering the following topics: a) your professional goals, b) reasons for applying for this scholarship, and c) your financial need"
" Biology, Chemistry & Biochemistry, Computer Science, Engineering, SoTE, Mathematics, Physics & Astronomy, Psychology", To support graduate students in the College of Science and Engineering who demonstrates a need for financial assistance.,"
1) Students must have completed 8 units or at least 1 semester at SF State by the time of application.
2) Demonstrate financial need."," Single:  All majors in College of Science and Engineering – Biology, Chemistry & Biochemistry, Computer Science, Earth & Climate Sciences, Engineering, Geography & Environment, Mathematics, Physics & Astronomy, Psychology", Undergrad:  N/A; Grad:  Masters, Continuing, Undergrad:  N/A; Grad:  4 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; SF State Grad GPA:  3.5, Lannie Nguyen, TH 323," 1600 Holloway, San Francisco, California 94132", (415) 338-7662, lannie@sfsu.edu, http: //cose.sfsu.edu/scholarships, Varies,"$2,500.00",Public Affairs and Civic Engagement (PACE),03/25/2024,Please upload your current transcript.
 Student Affairs, The Daniel Schirrra Memorial scholarship is available to continuing SF State students in recognition of success after redirection in paths chosen., Applicant must submit an unofficial transcript as well as an essay (3 pages maximum) demonstrating their potential for future success despite a past record of underachievement., Any," Undergrad:  Any, Grad:  Any", Continuing, Undergrad:  FULL-TIME; Grad:  FULL-TIME, Must file a FAFSA, US Citizen, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.0, Eugene Chelberg, SSB 403," 1600 Holloway Avenue, San Francisco, California 94132", (415)338-2916, chelberg@sfsu.edu, N/A, 1,"$2,000.00",College of Business,06/15/2016,"Could you upload a coherent personal narrative which addresses the above stated scholarship intent and criteria? This narrative should also relate the applicant's background and specific interests in gerontology, and how the scholarship will be helpful with your career goals and aspirations. You have up to 500 words on two typed, double-spaced pages for this narrative."
 Gerontology, To provide scholarships to Gerontology graduate students with an academic and professional interest in Geriatric Care Management (GCM)., N/A, Gerontology, HS Seniors:  N/A; Undergrad:  N/A; Grad:  Masters, Entering and Continuing, Undergrad:  N/A; Grad:  4 units, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad cumulative or SF State GPA:  3.0, Gerontology Program, HSS 242," 1600 Holloway Ave., San Francisco, California 94132", (415) 338-1684, sfsugero@sfsu.edu, http: //pace.sfsu.edu/gerontology, varies,amount up to $1000,English,02/14/2020,"An essay to describe: Your personal goals and objectives, your academic achievements, your campus and HTM industry experience, your leadership potential, any expression of financial need, and how this scholarship would play an important role and impact your current experience."
